Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
LLNW,Limelight Networks Inc.,2.17,$217.96M,2007,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/llnw,
LMNR,Limoneira Co,16.51,$233.27M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/lmnr,
LINC,Lincoln Educational Services Corporation,1.01,$24.2M,2005,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/linc,
LECO,Lincoln Electric Holdings Inc.,54.41,$4.07B,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/leco,
LIND,Lindblad Expeditions Holdings Inc.,10.15,$453.89M,2013,Consumer Services,Transportation Services,http://www.nasdaq.com/symbol/lind,
LINDW,Lindblad Expeditions Holdings Inc.,2.04,n/a,2013,Consumer Services,Transportation Services,http://www.nasdaq.com/symbol/lindw,
LLTC,Linear Technology Corporation,44,$10.55B,1986,Technology,Semiconductors,http://www.nasdaq.com/symbol/lltc,
LNCO,Linn Co LLC,2.99,$384.35M,2012,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/lnco,
LINE,Linn Energy LLC,3,$1.07B,2006,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/line,
LBIO,Lion Biotechnologies Inc.,6.51,$307.22M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/lbio,
LIOX,Lionbridge Technologies Inc.,5.3,$341.91M,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/liox,
LPCN,Lipocine Inc.,12.81,$233.71M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/lpcn,
LIQD,Liquid Holdings Group Inc.,0.0871,$5.25M,2013,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/liqd,
LQDT,Liquidity Services Inc.,8.12,$243.81M,2006,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/lqdt,
LFUS,Littelfuse Inc.,93.72,$2.12B,n/a,Consumer Durables,Electrical Products,http://www.nasdaq.com/symbol/lfus,
LOB,Live Oak Bancshares Inc.,18.08,$617.72M,2015,Finance,Major Banks,http://www.nasdaq.com/symbol/lob,
LIVE,Live Ventures Incorporated,1.55,$26.2M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/live,
LPSN,LivePerson Inc.,8.16,$466.45M,2000,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/lpsn,
LKQ,LKQ Corporation,27.8,$8.48B,n/a,Consumer Services,Motor Vehicles,http://www.nasdaq.com/symbol/lkq,
LMIA,LMI Aerospace Inc.,10.54,$139.49M,1998,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/lmia,
LOGI,Logitech International S.A.,14.27,$2.35B,1997,Technology,Computer peripheral equipment,http://www.nasdaq.com/symbol/logi,
LOGM,LogMein Inc.,68.48,$1.7B,2009,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/logm,
LOJN,LoJack Corporation,2.91,$55.99M,n/a,Consumer Durables,Telecommunications Equipment,http://www.nasdaq.com/symbol/lojn,
EVAR,Lombard Medical Inc.,3.71,$60.05M,2014,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/evar,
CNCR,Loncar Cancer Immunotherapy ETF,26.98,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cncr,
LOOK,LookSmart Ltd.,0.87,$5.02M,1999,Technology,EDP Services,http://www.nasdaq.com/symbol/look,
LORL,Loral Space and Communications Inc.,47.96,$1.48B,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/lorl,
LOXO,Loxo Oncology Inc.,24.21,$404M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/loxo,
LPTN,Lpath Inc.,0.2186,$6.43M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/lptn,
LPLA,LPL Financial Holdings Inc.,38.63,$3.68B,2010,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/lpla,
LRAD,LRAD Corporation,1.74,$57.63M,n/a,Consumer Non-Durables,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/lrad,
