Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
RWC,RELM Wireless Corporation,4.5,$61.73M,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/rwc,
RCG,RENN Fund Inc.,0.915,$4.08M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/rcg,
RVP,Retractable Technologies Inc.,3.67,$102.26M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/rvp,
RNN,Rexahn Pharmaceuticals Inc.,0.4792,$86.59M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/rnn,
RIC,Richmont Mines Inc.,3.16,$183.49M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/ric,
REI,Ring Energy Inc.,10.69,$324.88M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/rei,
RIF,RMR Real Estate Income Fund.,19.04,$145.68M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/rif,
RBY,Rubicon Minerals Corp,0.4847,$191.42M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/rby,
SGA,Saga Communications Inc.,42.8,$248.69M,n/a,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/sga,
SSN,Samson Oil & Gas Limited,0.8551,$12.13M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ssn,
SPP,Sanchez Production Partners LP,10.48,$33.01M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/spp,
SAND          ,Sandstorm Gold Ltd,3.03,$358.31M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/sand          ,
SEB,Seaboard Corporation,3156,$3.69B,1996,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/seb,
SVT,Servotronics Inc.,6.9999,$17.07M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/svt,
SIF,SIFCO Industries Inc.,12.36,$67.34M,n/a,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/sif,
SKY,Skyline Corporation,2.75,$23.08M,n/a,Basic Industries,Homebuilding,http://www.nasdaq.com/symbol/sky,
SLI,SL Industries Inc.,33.6,$133.06M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/sli,
XPL,Solitario Exploration & Royalty Corp,0.58,$22.76M,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/xpl,
SCE^B,Southern California Edison Company,22.1545,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sce^b,
SCE^C,Southern California Edison Company,22.8,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sce^c,
SCE^D,Southern California Edison Company,23.15,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sce^d,
